DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Yatay 261,,Inst. Priv. Argentino Japones en Buenos Aires,I. Priv. Argentino Japones en BA,4983-3310,ipaj@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4289484809768,-34.6095724844572,"{""type"":""Point"",""coordinates"":[-58.42895,-34.60957]}"
Yerbal 351,,Inst. Tobar Garcia,Inst. Tobar Garcia,4901-5081 4903-3639,,PriEsp - Otras,Gestion Privada,-58.4353139495904,-34.6162359289748,"{""type"":""Point"",""coordinates"":[-58.43531,-34.61624]}"
Juan Ramirez de Velazco 748,Dr. M. Acevedo 566,Colegio Paideia,Colegio Paideia,4855-3136/4676,paideia@interprov.com.ar,MedCom,Gestion Privada,-58.4387920015408,-34.5967672225554,"{""type"":""Point"",""coordinates"":[-58.43879,-34.59677]}"
Uruguay 776,,"Centro de Diseńo, Produccion y Evolucion (C.E.D.I.P.R.O.E.)",CEDIPROE,4371-4083/0544,cedima@ciudad.com.ar,SNUCom,Gestion Privada,-58.3869347326424,-34.5997005907822,"{""type"":""Point"",""coordinates"":[-58.38693,-34.5997]}"
Avda. Belgrano 2186,,Colegio San Luis,Colegio San Luis,4941-5888,,PriCom,Gestion Privada,-58.3971539219571,-34.6143111766687,"{""type"":""Point"",""coordinates"":[-58.39715,-34.61431]}"
Juncal 1264,,Jardin de Infantes El Centavo,Jardín de Infantes El Centavo,4812-1178,elcentavo@fibentel.com.ar,IniCom,Gestion Privada,-58.3854675289694,-34.5929137079643,"{""type"":""Point"",""coordinates"":[-58.38547,-34.59291]}"
Pte. José Evaristo Uriburu 1269,,Jardin de Infantes Cinderella,Jardín de Infantes Cinderella,4821-6121,cinderella@cinderellaelcentavo.com.a,IniCom,Gestion Privada,-58.3975344436645,-34.5933821311976,"{""type"":""Point"",""coordinates"":[-58.39753,-34.59338]}"
Laprida 1871,,Escuela Primaria Septiembre,Escuela Primaria Septiembre,4805-7460,,IniCom - PriCom,Gestion Privada,-58.4011189740772,-34.5888539216228,"{""type"":""Point"",""coordinates"":[-58.40112,-34.58885]}"
Lavalle 2083,,Inst. Tea y Deportea,Inst. Tea y Deportea,4374-6751,tea@tea.edu,SNUCom,Gestion Privada,-58.3966548100422,-34.6031801167293,"{""type"":""Point"",""coordinates"":[-58.39665,-34.60318]}"
Ayacucho 760,,La Gotita de Agua,La Gotita de Agua,4371-0016 4374-2941,,IniCom,Gestion Privada,-58.3958609938352,-34.6002210069719,"{""type"":""Point"",""coordinates"":[-58.39586,-34.60022]}"
Suipacha 7,,Escuela Superior de Ciencias Deportivas,Escuela Superior de Ciencias Deportivas,4345-4905/4895/0247,escuelaniembroaraujo@fibentel.,SNUCom,Gestion Privada,-58.3791394831254,-34.6081955863626,"{""type"":""Point"",""coordinates"":[-58.37914,-34.6082]}"
Paraguay 723,,Catalinas,Catalinas,4312-4685,,IniCom,Gestion Privada,-58.3771909783573,-34.5975118310338,"{""type"":""Point"",""coordinates"":[-58.37719,-34.59751]}"
Bartolomé Mitre 2082,,Inst. Superior Emerson,Inst. Superior Emerson,4953-5130/2,emerson@overnet.com.ar,SNUCom,Gestion Privada,-58.3960838486639,-34.6083429303972,"{""type"":""Point"",""coordinates"":[-58.39608,-34.60834]}"
Riobamba 650,Ayacucho 665,Inst. Pastoral de la Adolescencia,I. Pastoral de la Adolescencia,,ipa@fibertel.com.ar,SNUCom,Gestion Privada,-58.3942823844464,-34.601452409879,"{""type"":""Point"",""coordinates"":[-58.39428,-34.60145]}"
Rodríguez Peńa 575,,Superior Dante Alighieri,Superior Dante Alighieri,4371-2480/9692,,SNUArt,Gestion Privada,-58.3911074888984,-34.6023133618484,"{""type"":""Point"",""coordinates"":[-58.39111,-34.60231]}"
Riobamba 1059,,Centro Argentino de Educ. Permanente CAEP,CAEP,4372-7422,caep@teletel.com.ar,SNUCom,Gestion Privada,-58.3946042316145,-34.5964921370647,"{""type"":""Point"",""coordinates"":[-58.3946,-34.59649]}"
Dr. Tomás Manuel de Anchorena 1553,,Inst. Mercedes Pacheco,Inst. Mercedes Pacheco,4822-0508 4821-6032,,PriCom - MedCom,Gestion Privada,-58.4036280261621,-34.5921660236527,"{""type"":""Point"",""coordinates"":[-58.40363,-34.59217]}"
Bartolomé Mitre 739,,"Inst. Superior Educ. de la Camara de Com., Indus. y Prod. R.A.",I. Sup.Educ. de la Cámara de Comercio,4342-8252 4328-6816,cacipra@houseware.com.ar,SNUCom,Gestion Privada,-58.3770278911233,-34.6069074544732,"{""type"":""Point"",""coordinates"":[-58.37703,-34.60691]}"
Viamonte 1475,,Cultural Inglesa de Buenos Aires,Cultural Inglesa de Buenos Aires,4374-4643 4371-7448,ciba@interar.com.ar,SNUCom,Gestion Privada,-58.3876918000002,-34.6005410515922,"{""type"":""Point"",""coordinates"":[-58.38769,-34.60054]}"
Paraná 660,,Colegio Superior de Arte del Teatro y la Comunicacion,Col.Sup. Arte del Teatro y la Comunicación,4372-8386,info@andamio90.org,SNUArt,Gestion Privada,-58.3881857752045,-34.6010439012098,"{""type"":""Point"",""coordinates"":[-58.38819,-34.60104]}"
Bartolomé Mitre 1869,,Inst. Argentino de Narracion Oral,I Argentino de Narración Oral,4431-6973,,SNUCom,Gestion Privada,-58.3930205921381,-34.6079447005102,"{""type"":""Point"",""coordinates"":[-58.39302,-34.60794]}"
Sarmiento 2210,,Escuela Taller Imagen y Sonido,Escuela Taller Imagen y Sonido,4954-4300,tallerimagen@bigfoot.com,SNUArt,Gestion Privada,-58.3981405053884,-34.60612193873,"{""type"":""Point"",""coordinates"":[-58.39814,-34.60612]}"
Avda. Corrientes 2037,,Inst. Leonardo Da Vinci,Inst. Leonardo Da Vinci,5032-0055,informes@davinci.edu.ar,SNUArt,Gestion Privada,-58.3959022733478,-34.6043653914541,"{""type"":""Point"",""coordinates"":[-58.3959,-34.60437]}"
Pichincha 467,,"Inst. Terc. de Capacitacion, Actualizacion y Perfeccion. Docente","I.Terc.de Capac., Actual. y Perfecc.",4308-6046,,SNUCom,Gestion Privada,-58.3993608635103,-34.6148392406805,"{""type"":""Point"",""coordinates"":[-58.39936,-34.61484]}"
Avda. Gral. Las Heras 1947,,FENTOS,FENTOS,5861-0404,fentosan@satlink.com,SNUCom,Gestion Privada,-58.3932089030874,-34.5904728158502,"{""type"":""Point"",""coordinates"":[-58.39321,-34.59047]}"
Soler 3687,,Inst. de Recreacion Infantil Mi Casita,I de Recreación Infantil Mi Casita,4824-1937,,IniCom - PriCom,Gestion Privada,-58.4149553037782,-34.5934721994304,"{""type"":""Point"",""coordinates"":[-58.41496,-34.59347]}"
Bartolomé Mitre 1970,,Centro de Estudios Organizacionales,Centro de Estudios Organizacionales,4951-7030/7680,convenir@mbox.servicenet.com.a,SNUCom,Gestion Privada,-58.3944711604935,-34.6082652748893,"{""type"":""Point"",""coordinates"":[-58.39447,-34.60827]}"
Pte. José Evaristo Uriburu 353,,Inst. Escuela Tea Imagen,I Escuela Tea Imagen,4952-6828 4954-0557,teaimagen@elsitio.net,SNUArt,Gestion Privada,-58.3979667523314,-34.6053104778655,"{""type"":""Point"",""coordinates"":[-58.39797,-34.60531]}"
México 1660,,Inst. Terciario Priv. De la Rivera,I. Terciario Priv. De la Rivera,4362-4352,ana007ar@yahoo.com.ar,SNUCom,Gestion Privada,-58.3897980244115,-34.6156951461341,"{""type"":""Point"",""coordinates"":[-58.3898,-34.6157]}"
Avda. Callao 542,,Colegio del Salvador,Colegio del Salvador,4374-5653/7 4371-7997,info@colegiodelsalvador.esc.ed,IniCom - PriCom - MedCom,Gestion Privada,-58.3926995153586,-34.6026477978892,"{""type"":""Point"",""coordinates"":[-58.3927,-34.60265]}"
Esmeralda 759,,CONSUDEC,CONSUDEC,4326-3834/36/38,consudec@interserver.com.ar,SNUCom,Gestion Privada,-58.3781251328649,-34.5996156801794,"{""type"":""Point"",""coordinates"":[-58.37813,-34.59962]}"
Tte. Gral. Juan Domingo Perón 1862,,Colegio Secundario Sto. Tomas de Aquino,Col. Secundario Sto. Tomas de Aquino,4371-2238/2093,colegio@uca.edu.ar,MedCom,Gestion Privada,-58.3929886564427,-34.6069621344571,"{""type"":""Point"",""coordinates"":[-58.39299,-34.60696]}"
Juncal 2131,,Inst. Padre Luis M. Etcheverry Boneo,I. Padre Luis M. Etcheverry Boneo,4822-3687,,IniCom - PriCom - MedCom,Gestion Privada,-58.3977938117864,-34.5926636624618,"{""type"":""Point"",""coordinates"":[-58.39779,-34.59266]}"
Gorriti 4073,,B. Rusell,B. Rusell,4862-0126/4865/8056,bertrandrussell@ciudad.com.ar,MedCom,Gestion Privada,-58.4224664617409,-34.5952035023213,"{""type"":""Point"",""coordinates"":[-58.42247,-34.5952]}"
Avda. Cnel. Díaz 1894,,Ser Feliz,Ser Feliz,4821-4699,serfeliz@arnet.com.ar,IniCom,Gestion Privada,-58.4103644372201,-34.5891343381979,"{""type"":""Point"",""coordinates"":[-58.41036,-34.58913]}"
Bulnes 1131,,Inst. Secundario para Adultos UPSRA,I. Secundario p/Adultos UPSRA,4865-7097,escuela @upsra.org.ar,MedAdu,Gestion Privada,-58.4172611238702,-34.5985202402766,"{""type"":""Point"",""coordinates"":[-58.41726,-34.59852]}"
Paraguay 3925,,Colegio Guadalupe,Colegio Guadalupe,4824-5641/6093,guadalupeadm@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4181507384138,-34.5892420563163,"{""type"":""Point"",""coordinates"":[-58.41815,-34.58924]}"
Billinghurst 1355,,Colegio Guido Spano,Colegio Guido Spano,4963-4378/1516/0840,www colegioguidospano.edu.esc.,IniCom - PriCom - MedCom,Gestion Privada,-58.4130849226122,-34.5943579775966,"{""type"":""Point"",""coordinates"":[-58.41308,-34.59436]}"
Avda. Córdoba 3271,,Inst. 9 de Julio,I 9 de Julio,4963-2619 4961-8233,,MedCom - MedAdu,Gestion Privada,-58.4128346138622,-34.5978016355615,"{""type"":""Point"",""coordinates"":[-58.41283,-34.5978]}"
Lavalle 3761,,Inst. William C. Morris,Inst. William C. Morris,4862-1419,wmorris@velo.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4185191624542,-34.5995852804591,"{""type"":""Point"",""coordinates"":[-58.41852,-34.59959]}"
Charcas 3034,,Inst. Vocacional Argentino,Inst. Vocacional Argentino,4821-5268/2412,vocarg@elsitio.net.ar,MedCom - MedAdu,Gestion Privada,-58.408816914506,-34.5931010352845,"{""type"":""Point"",""coordinates"":[-58.40882,-34.5931]}"
Mario Bravo 563,,Inst. Inmaculada Concepcion,Inst. Inmaculada Concepción,4862-1635,www.cicbue.com,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.416483264612,-34.6027741550859,"{""type"":""Point"",""coordinates"":[-58.41648,-34.60277]}"
República Dominicana 3586,,Inst. Divino Corazon,I Divino Corazón,4823-8452,instdivinocorazon@ciudad.com.a,IniCom - PriCom - MedCom,Gestion Privada,-58.4154887956038,-34.5896828470115,"{""type"":""Point"",""coordinates"":[-58.41549,-34.58968]}"
Avda. Corrientes 4471,,Inst. Casa de Jesus,I Casa de Jesús,4862-5254,cdj@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4280348873303,-34.6023157967803,"{""type"":""Point"",""coordinates"":[-58.42803,-34.60232]}"
Gral. Lucio Norberto Mansilla 2588,,Inst. de los Angeles Custodios,I de los Angeles Custodios,4961-8992/4872,,IniCom - PriCom,Gestion Privada,-58.4042575011925,-34.5963030714466,"{""type"":""Point"",""coordinates"":[-58.40426,-34.5963]}"
Sánchez de Bustamante 364,,Inst. Alberto Einstein,I Alberto Einstein,4861-2266,,IniCom - PriCom,Gestion Privada,-58.4149695454577,-34.6053913581763,"{""type"":""Point"",""coordinates"":[-58.41497,-34.60539]}"
Francisco Acuńa de Figueroa 855,,Inst. Betania,I Betania,4863-0705,,IniCom - PriCom - MedCom,Gestion Privada,-58.4221336890742,-34.6010426751927,"{""type"":""Point"",""coordinates"":[-58.42213,-34.60104]}"
San Luis 3358,,Inst. Ntra. Sra. del Valle,Inst. Ntra. Sra. del Valle,4862-2515,,IniCom - PriCom,Gestion Privada,-58.4129771181661,-34.5993732191419,"{""type"":""Point"",""coordinates"":[-58.41298,-34.59937]}"
Francisco Acuńa de Figueroa 1742,,Centro Educativo Arquidiocesano Espiritu Sto.,CE Arquidiocesano Espíritu Santo,4863-6362,,IniCom - PriCom - MedCom,Gestion Privada,-58.4205646992085,-34.5910217428645,"{""type"":""Point"",""coordinates"":[-58.42056,-34.59102]}"
Guise 1979,,Inst. Corazon de Maria,I Corazón de María,4822-0863,icmaria@vol.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4121967520777,-34.5901508585134,"{""type"":""Point"",""coordinates"":[-58.4122,-34.59015]}"
Avda. Estado de Israel 4230,,Inst. Benito Nazar,I Benito Nazar,4862-4993,bnazar@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4253639805702,-34.5980113411959,"{""type"":""Point"",""coordinates"":[-58.42536,-34.59801]}"
Ecuador 928,,Escuela Religiosa Israelita Argentina,Escuela Religiosa Israelita Argentina,4962-6423/2301,,PriCom - MedCom,Gestion Privada,-58.4062178929052,-34.5991892451699,"{""type"":""Point"",""coordinates"":[-58.40622,-34.59919]}"
Bartolomé Mitre 3443,,Inst. Tierra Santa,Inst. Tierra Santa,4861-2067 4865-5845,,IniCom - PriCom - MedCom,Gestion Privada,-58.4151843209319,-34.6093061946979,"{""type"":""Point"",""coordinates"":[-58.41518,-34.60931]}"
San Luis 3341,,Inst. Maria Inmaculada,Inst. María Inmaculada,4862-0372 4865-8706,,MedAdu,Gestion Privada,-58.4126932371759,-34.599118707083,"{""type"":""Point"",""coordinates"":[-58.41269,-34.59912]}"
Valle 584,,Mundo Ecologico,Mundo Ecológico,4922-9301,,IniCom,Gestion Privada,-58.4357349330075,-34.6246534104648,"{""type"":""Point"",""coordinates"":[-58.43573,-34.62465]}"
Laprida 1659,Dr. Tomás Manuel de Anchorena 1654,Inst. Rio de la Plata,Inst. Rio de la Plata,4822-9496/2032,colegiorio1@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4036118864008,-34.5907731381173,"{""type"":""Point"",""coordinates"":[-58.40361,-34.59077]}"
Dr. N. Quirno Costa 1260,,Inst. Edmundo de Amicis,I Edmundo de Amicis,4964-0513 4963-9467,,IniCom - PriCom - MedCom,Gestion Privada,-58.4054867275708,-34.5952297644336,"{""type"":""Point"",""coordinates"":[-58.40549,-34.59523]}"
Tte. Gral. Juan Domingo Perón 2461,,Inst. Natan Gesang,Inst. Natan Gesang,4963-8555/6 4951-3275,gesang@fibertel.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4014049719896,-34.6073404723015,"{""type"":""Point"",""coordinates"":[-58.4014,-34.60734]}"
Vidt 1631,,Inst. Gonzalez Pecotche,Inst. Gonzalez Pecotche,4825-6927 4824-2389,lqpecotche@arnet.com.ar,IniCom - PriCom,Gestion Privada,-58.4164108097759,-34.5917834008806,"{""type"":""Point"",""coordinates"":[-58.41641,-34.59178]}"
Potosí 4032,,Escuela de Enfermeria del Htal. Italiano,Escuela de Enfermería del Htal. Italiano,4959-0200 int. 8443,vrasso@hitalba.edu.ar,SNUCom,Gestion Privada,-58.4234109003912,-34.6074066287416,"{""type"":""Point"",""coordinates"":[-58.42341,-34.60741]}"
Francisco Acuńa de Figueroa 1742,,Inst. Superior del Prof. San Agustin,I. Superior del Prof. San Agustín,4867-4845 4865-0195,prfsanagustina757@ciudad.com.a,SNUCom,Gestion Privada,-58.4205646992085,-34.5910217428645,"{""type"":""Point"",""coordinates"":[-58.42056,-34.59102]}"
Agüero 1916,,Inst. Daguerre,I Daguerre,4824-4747/5006,colegiomodelodeescobar@ciudad.,SNUCom,Gestion Privada,-58.4042189590899,-34.5893448325805,"{""type"":""Point"",""coordinates"":[-58.40422,-34.58934]}"
Julián Álvarez 1030,,Inst. Incorp. Colectividad Helenica,I. Incorp. Colectividad Helénica,4777-6222,,IniCom - PriCom,Gestion Privada,-58.4293300082988,-34.5961728357289,"{""type"":""Point"",""coordinates"":[-58.42933,-34.59617]}"
Gallo 1341,,Inst. de la Nińez,I de la Nińez,4961-0814,aletheia@comnet.com.ar,IniCom - PriCom,Gestion Privada,-58.4105496720569,-34.5946533386109,"{""type"":""Point"",""coordinates"":[-58.41055,-34.59465]}"
Pringles 939,,Inst. Infancias,Inst. Infancias,4862-5059/5301,infancias@ciudad.com.ar,IniEsp - PriEsp - Otras,Gestion Privada,-58.4267321172166,-34.6008268980834,"{""type"":""Point"",""coordinates"":[-58.42673,-34.60083]}"
Honduras 3825,,Inst. Superior de Carreras Empresariales,I. Superior de Carreras Empresariales,4824-5639 4821-0822,iscea@iscea.edu.ar,SNUCom,Gestion Privada,-58.416909323745,-34.5939450430909,"{""type"":""Point"",""coordinates"":[-58.41691,-34.59395]}"
Ecuador 530,,Inst. Beth Rajel,I Beth Rajel,4862-2701,,PriCom,Gestion Privada,-58.407795796295,-34.6037570461195,"{""type"":""Point"",""coordinates"":[-58.4078,-34.60376]}"
El Salvador 3952,,Nueva Escuela Modelo Internacional,Nueva Escuela Modelo Internacional,4825-2900,info@newmodel.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4185864347688,-34.5928733198047,"{""type"":""Point"",""coordinates"":[-58.41859,-34.59287]}"
Soler 3985,,Escuela Metropolitana de Altos Estudios,Esc. Metropol. de Altos Estudios,4822-3409,infalpi@attglobal.net,SNUCom,Gestion Privada,-58.4173738708051,-34.5917109496713,"{""type"":""Point"",""coordinates"":[-58.41737,-34.59171]}"
Palestina 748,,Colegio Galileo Galilei,Colegio Galileo Galilei,4862-9179,www@galileo.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4256874590361,-34.6020822788237,"{""type"":""Point"",""coordinates"":[-58.42569,-34.60208]}"
Lerma 242,,Inst. Griego Atenagoras,Inst. Griego Atenagoras,4777-2124,,MedCom,Gestion Privada,-58.4302768948616,-34.5962294129132,"{""type"":""Point"",""coordinates"":[-58.43028,-34.59623]}"
José Antonio Cabrera 3138,,Nuevos Rumbos,Nuevos Rumbos,4826-2600/3060,nuevosm@via_net_works.com.ar,IniCom - PriCom,Gestion Privada,-58.4109531129193,-34.5970493086578,"{""type"":""Point"",""coordinates"":[-58.41095,-34.59705]}"
Avda. Medrano 162,,Inst. Superior de Enseńanza del A.C.A.,I. Sup. de Enseńanza del A.C.A.,4983-4228/4250,iseaca@aca.org.ar,SNUCom,Gestion Privada,-58.421582137316,-34.6090780982175,"{""type"":""Point"",""coordinates"":[-58.42158,-34.60908]}"
Aráoz 2193,,Integral - Taller de Arquitectura,Integral - Taller de Arquitectura,4824-5656,info@integral.com.ar,SNUCom,Gestion Privada,-58.4188184268465,-34.5882110231652,"{""type"":""Point"",""coordinates"":[-58.41882,-34.58821]}"
Dr. Tomás Manuel de Anchorena 41,,Inst. Priv. Arcangel San Miguel,I. Priv. Arcangel San Miguel,4865-0878/0945,sanmiguel2@kennedy.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4116182222399,-34.6099472072215,"{""type"":""Point"",""coordinates"":[-58.41162,-34.60995]}"
Jerónimo Salguero 94,,Inst. Superior Mitre,Inst. Superior Mitre,4982-1177,ism@institutosuperiormitre.com,SNUCom,Gestion Privada,-58.4199894153954,-34.6099486490655,"{""type"":""Point"",""coordinates"":[-58.41999,-34.60995]}"
Avda. Córdoba 4448,,Inst. Holos,Inst. Holos,4775-3622/3638,holos@holos-counseling.com.ar,SNUCom,Gestion Privada,-58.4286967240315,-34.5953495268047,"{""type"":""Point"",""coordinates"":[-58.4287,-34.59535]}"
Laprida 1138,,Zoe Un Lugar Para Ser,Zoe Un Lugar Para Ser,4963-4744,,IniEsp - PriEsp - Otras,Gestion Privada,-58.4083415143781,-34.595610284896,"{""type"":""Point"",""coordinates"":[-58.40834,-34.59561]}"
Pringles 738,,Inst. Centro Psicopedagog. de Educ. Es. Acuarela,I C P E Acuarela,4862-5307,acuarela_fundacioncreandoespac,IniEsp - PriEsp - Otras,Gestion Privada,-58.4274028443465,-34.6036468255951,"{""type"":""Point"",""coordinates"":[-58.4274,-34.60365]}"
Humahuaca 4248,,Escuela de la Nueva Expresion,E Nueva Expresion,4866-0566 4867-4136,nuevaexpresion@radar.com.ar,IniCom - PriCom,Gestion Privada,-58.4246923606531,-34.6016269196986,"{""type"":""Point"",""coordinates"":[-58.42469,-34.60163]}"
Larrea 1254,,Inst. Priv. Inc. Kline-Centro de Enseńanza e Investigacion,I. Priv. Inc. Kline-Centro de Enseńanza,4821-0168,kline@ivd.com.ar,SNUCom,Gestion Privada,-58.4004128231576,-34.5927711123167,"{""type"":""Point"",""coordinates"":[-58.40041,-34.59277]}"
Carlos Calvo 3893,,Inst. de Educ. Especial y Formacion Laboral Ntra. Sra. de Lujan,I EEyFL Ntra. Sra. Luján,4931-3665 4932-1797,,IniEsp - PriEsp - Otras,Gestion Privada,-58.4202153026748,-34.6245588015837,"{""type"":""Point"",""coordinates"":[-58.42022,-34.62456]}"
Avda. Cnel. Díaz 1774,,Inst. Gonzalez Pecotche,Inst. Gonzalez Pecotche,4822-1238 4824-4383,mheras@arnet.com.ar,MedCom,Gestion Privada,-58.4117213066894,-34.5906964960873,"{""type"":""Point"",""coordinates"":[-58.41172,-34.5907]}"
Gascón 1269,,Grupo Caminantes,Grupo Caminantes,4862-9541,caminantes@dinamico.com.ar,IniEsp - PriEsp - Otras,Gestion Privada,-58.422904987207,-34.5957259046841,"{""type"":""Point"",""coordinates"":[-58.4229,-34.59573]}"
Avda. Corrientes 2925,,Inst. Ciencias de la Informacion,I Ciencias de la Información,4863-4424/0106,,SNUCom,Gestion Privada,-58.4068457682979,-34.6042297102268,"{""type"":""Point"",""coordinates"":[-58.40685,-34.60423]}"
Avda. Juan B. Justo 1423,,Inst. de Natacion y Deportes,I de Natación y Deportes,4771-7873 4777-1472,instituto@nataci˘nydeportes.co,SNUCom,Gestion Privada,-58.4342730294554,-34.5847537340815,"{""type"":""Point"",""coordinates"":[-58.43427,-34.58475]}"
Cochabamba 1414,,Inst. La Providencia,Inst. La Providencia,4305-8077,,IniCom - PriCom - MedCom,Gestion Privada,-58.3859854840446,-34.6240619988548,"{""type"":""Point"",""coordinates"":[-58.38599,-34.62406]}"
Avda. San Juan 1774,,Inst. Rosa Anchorena de Ibańez,I. Rosa Anchorena de Ibańez,4304-7924/8221,,IniCom - PriCom,Gestion Privada,-58.3909667273679,-34.6228631370188,"{""type"":""Point"",""coordinates"":[-58.39097,-34.62286]}"
Psje. 5 de Julio 489,,Inst. Beato Angelico,I Beato Angélico,4342-1525,,SNUArt,Gestion Privada,-58.3712400307961,-34.6134600521113,"{""type"":""Point"",""coordinates"":[-58.37124,-34.61346]}"
Avda. Belgrano 1344,,Inst. Ntra. Sra. de Monserrat,I. Ntra. Sra. de Monserrat,4383-7817,,IniCom - PriCom,Gestion Privada,-58.3852908648715,-34.613543410581,"{""type"":""Point"",""coordinates"":[-58.38529,-34.61354]}"
